name,email,zipcode,contact
Matti,moffield3@google.co.jp,5516,179-216-5770
Dorrie,dlucchi4@nyu.edu,4023,830-141-0404
Charity,cthynnea@gnu.org,855058,232-568-8464
Dew,dwhyberdd@google.it,1096,554-603-8878
Ian,ichaffene@indiatimes.com,1751,231-279-8209
Andonis,adickersonh@virginia.edu,423650,531-832-8073
Christin,ctarrierk@ow.ly,8708,598-841-6953
Justis,jfordm@scribd.com,1656,783-952-5298
Darrelle,dcropperx@nps.gov,47707,577-690-9223
Alonso,azima12@biblegateway.com,2436,398-303-5391
Goldarina,gfredi14@is.gd,10160,245-434-2033
pranab,xyz@new.com,735101,123456789
raj,abc@san.com,735101,123456789
kamlesh,kaml@nps.gov,47707,577-690-9223
